fid,ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,ZIP
"167","76127","76127",B5,G6350,S,"5635393","41533","+32.7754086","-097.4355990",76127
"168","75495","75495",B5,G6350,S,"174353346","759599","+33.4391948","-096.5468412",75495
"169","76129","76129",B5,G6350,S,"284925","0","+32.7086390","-097.3634948",76129
"170","76131","76131",B5,G6350,S,"39109916","192723","+32.8818070","-097.3459557",76131
"171","76132","76132",B5,G6350,S,"18970746","62164","+32.6676880","-097.4169164",76132
"172","76133","76133",B5,G6350,S,"23924833","16708","+32.6529183","-097.3795378",76133
"173","76134","76134",B5,G6350,S,"20651548","1351","+32.6391793","-097.3353500",76134
"174","75208","75208",B5,G6350,S,"15386005","13588","+32.7531409","-096.8396133",75208
"175","75209","75209",B5,G6350,S,"9155182","22594","+32.8483100","-096.8254742",75209
"176","75210","75210",B5,G6350,S,"5844377","394735","+32.7706348","-096.7463621",75210
"177","75211","75211",B5,G6350,S,"45702876","2486873","+32.7369857","-096.9078149",75211
"178","75212","75212",B5,G6350,S,"26628831","254486","+32.7812459","-096.8788308",75212
"179","75214","75214",B5,G6350,S,"18742914","641800","+32.8284936","-096.7459684",75214
"180","75215","75215",B5,G6350,S,"21791896","510343","+32.7506016","-096.7568463",75215
"181","75252","75252",B5,G6350,S,"13066847","27521","+32.9973728","-096.7882125",75252
"182","75253","75253",B5,G6350,S,"35080754","2180655","+32.6744256","-096.6092277",75253
"183","75254","75254",B5,G6350,S,"8601010","686","+32.9441161","-096.8000900",75254
"184","75270","75270",B5,G6350,S,"14850","0","+32.7811969","-096.8022289",75270
"185","75287","75287",B5,G6350,S,"14499986","46939","+32.9993090","-096.8416877",75287
"186","75390","75390",B5,G6350,S,"13392","0","+32.8141640","-096.8406500",75390
"187","75216","75216",B5,G6350,S,"37851981","440132","+32.7113237","-096.7812147",75216
"188","75217","75217",B5,G6350,S,"70767675","2504767","+32.7103063","-096.6785494",75217
"189","75218","75218",B5,G6350,S,"18098366","45658","+32.8419874","-096.7025735",75218
"190","75219","75219",B5,G6350,S,"5677447","0","+32.8118128","-096.8128982",75219
"191","75220","75220",B5,G6350,S,"29314536","986441","+32.8685290","-096.8761182",75220
"192","75223","75223",B5,G6350,S,"8941342","0","+32.7922439","-096.7440028",75223
"193","75224","75224",B5,G6350,S,"15131174","28761","+32.7114054","-096.8385913",75224
"194","75407","75407",B5,G6350,S,"128285314","40985135","+33.1531430","-096.4714220",75407
"195","75409","75409",B5,G6350,S,"207742218","2622285","+33.3555000","-096.5163128",75409
"196","75225","75225",B5,G6350,S,"12226410","33352","+32.8648867","-096.7903586",75225
"197","75226","75226",B5,G6350,S,"2900517","0","+32.7828262","-096.7764427",75226
"198","75227","75227",B5,G6350,S,"29517404","34557","+32.7668100","-096.6869000",75227
"199","75228","75228",B5,G6350,S,"29545086","43527","+32.8249242","-096.6794378",75228
"200","75229","75229",B5,G6350,S,"32456763","76000","+32.8932946","-096.8643392",75229
"201","75230","75230",B5,G6350,S,"18766423","104736","+32.9026790","-096.7933933",75230
