GEOID,NAME,tot.popE_13,tot.popM_13,med.incE_13,med.incM_13,giniE_13,giniM_13,less.hsE_13,less.hsM_13,hs.degE_13,hs.degM_13,some.colE_13,some.colM_13,ba.degE_13,ba.degM_13,grad.degE_13,grad.degM_13,tot.degE_13,tot.degM_13,tot.popE_18,tot.popM_18,med.incE_18,med.incM_18,giniE_18,giniM_18,less.hsE_18,less.hsM_18,hs.degE_18,hs.degM_18,some.colE_18,some.colM_18,ba.degE_18,ba.degM_18,grad.degE_18,grad.degM_18,tot.degE_18,tot.degM_18,ADJ_med.inc_13
76627,ZCTA5 76627,1616,445,42917,4858,0.4327,0.1003,301,172,400,87,352,139,38,20,14,13,1105,296,1574,300,66083,14138,0.3767,0.0435,126,43,444,105,299,90,64,36,71,68,1004,190,46265.6637059159
76636,ZCTA5 76636,1535,259,48875,4148,0.3934,0.0372,135,46,377,86,410,90,59,24,49,26,1030,153,1404,257,54844,6625,0.4651,0.0713,139,48,375,86,381,101,113,33,38,16,1046,193,52688.5456491982
76641,ZCTA5 76641,1724,319,40238,9035,0.3891,0.0451,302,97,456,101,254,67,98,46,22,13,1132,190,1688,263,43654,11248,0.4537,0.0609,300,90,441,94,333,78,97,36,72,34,1243,162,43377.6306871087
76258,ZCTA5 76258,6022,513,53438,12570,0.409,0.0484,967,293,957,234,1288,265,605,196,303,126,4120,441,6876,453,65839,10809,0.4559,0.0634,679,328,1216,263,1543,274,757,190,389,140,4584,440,57607.5806118027
76259,ZCTA5 76259,4831,651,76021,9939,0.3439,0.039,370,213,1022,350,1216,308,378,142,132,53,3118,373,6042,980,75183,9180,0.35,0.0393,761,467,960,190,1384,284,629,170,231,96,3965,541,81952.6532746332
76262,ZCTA5 76262,30940,1257,88114,6414,0.4382,0.0254,359,147,3416,691,6505,755,6693,613,2874,391,19847,1070,37183,1312,114633,4397,0.4284,0.0207,997,318,3775,584,6421,569,8694,732,4305,569,24192,880,94989.2278533699
76266,ZCTA5 76266,14729,945,63416,2802,0.3971,0.0297,858,233,3217,413,3233,364,1374,268,506,178,9188,579,15695,685,71076,5049,0.4097,0.0516,1290,303,3506,441,3207,367,1862,213,657,161,10522,510,68364.1291230599
76271,ZCTA5 76271,1310,264,47981,8459,0.3801,0.0546,115,51,317,81,352,105,101,39,26,16,911,160,1741,548,72768,15616,0.3803,0.0561,154,69,330,106,324,76,228,101,56,40,1092,242,51724.7899497531
76272,ZCTA5 76272,4980,628,52763,16534,0.4225,0.0421,480,165,1120,243,1324,247,266,82,134,69,3324,451,4130,669,67500,13339,0.4258,0.0478,407,145,911,245,999,206,481,123,105,61,2903,442,56879.9127179263
76651,ZCTA5 76651,3247,301,50457,8925,0.3936,0.026,500,110,675,123,744,142,236,77,70,31,2225,182,3221,301,53641,7251,0.3943,0.0293,297,81,839,160,876,119,194,48,65,27,2271,196,54393.9835871426
76652,ZCTA5 76652,958,190,37647,11832,0.4298,0.0652,151,53,279,68,212,59,67,32,9,7,718,128,1352,282,46676,4663,0.3683,0.057,121,68,496,107,268,84,73,39,35,32,993,157,40584.4640011328
76666,ZCTA5 76666,154,59,45000,20662,0.4221,0.1248,26,19,42,23,30,21,22,23,4,6,124,47,285,88,43750,37203,0.3883,0.073,20,23,72,34,98,40,19,15,5,6,214,66,48511.192925093
76670,ZCTA5 76670,1268,227,49667,8238,0.4189,0.0373,167,67,324,78,282,87,87,43,9,8,869,146,1598,279,48578,5922,0.4038,0.0388,238,74,386,103,356,91,62,34,41,34,1083,183,53542.3426446799
75474,ZCTA5 75474,14631,972,44976,4751,0.452,0.0298,2331,413,4183,471,3166,320,636,165,240,85,10556,683,14744,765,48072,5653,0.4294,0.0209,2350,374,3885,388,3203,334,774,173,239,80,10451,534,48485.3202888663
