GEOID,NAME,tot_popE,med_incE,giniE,pop_u18E,pop_bpE,bp_u18E,year,bp_per,cbp_per,type
48085031643,"Census Tract 316.43, Collin County, Texas",4232,63261,0.4465,1042,306,72,2012,0.0723062381852552,0.0690978886756238,Tract
48085031645,"Census Tract 316.45, Collin County, Texas",2057,194886,0.3359,693,67,25,2012,0.0325717063684978,0.0360750360750361,Tract
48085031646,"Census Tract 316.46, Collin County, Texas",5458,139792,0.4642,1702,70,0,2012,0.0128252106998901,0,Tract
48085031647,"Census Tract 316.47, Collin County, Texas",3448,76696,0.481,928,118,28,2012,0.0342227378190255,0.0301724137931035,Tract
48085031648,"Census Tract 316.48, Collin County, Texas",7160,129928,0.5142,2055,277,87,2012,0.0386871508379888,0.0423357664233577,Tract
48085031649,"Census Tract 316.49, Collin County, Texas",4636,124735,0.4924,993,172,46,2012,0.0371009490940466,0.0463242698892246,Tract
48085031652,"Census Tract 316.52, Collin County, Texas",7811,80495,0.3769,2168,213,38,2012,0.0272692356932531,0.0175276752767528,Tract
48085031653,"Census Tract 316.53, Collin County, Texas",6465,101960,0.4437,1594,392,84,2012,0.0606341840680588,0.0526976160602259,Tract
48085031654,"Census Tract 316.54, Collin County, Texas",3783,133000,0.4244,1062,164,22,2012,0.0433518371662702,0.0207156308851224,Tract
48085031655,"Census Tract 316.55, Collin County, Texas",4521,57753,0.4289,950,340,111,2012,0.075204600752046,0.116842105263158,Tract
48085031656,"Census Tract 316.56, Collin County, Texas",2337,69926,0.4217,711,7,0,2012,0.00299529311082585,0,Tract
48085031657,"Census Tract 316.57, Collin County, Texas",1169,85346,0.3523,179,50,0,2012,0.0427715996578272,0,Tract
48085031658,"Census Tract 316.58, Collin County, Texas",4003,61235,0.3433,403,438,49,2012,0.109417936547589,0.121588089330025,Tract
48085031659,"Census Tract 316.59, Collin County, Texas",1730,95069,0.3734,215,157,0,2012,0.0907514450867052,0,Tract
48085031660,"Census Tract 316.60, Collin County, Texas",3766,57127,0.4418,896,163,19,2012,0.0432819968135953,0.0212053571428571,Tract
48085031661,"Census Tract 316.61, Collin County, Texas",3015,133266,0.3168,1080,78,29,2012,0.0258706467661692,0.0268518518518519,Tract
48085031662,"Census Tract 316.62, Collin County, Texas",5147,120417,0.351,1843,62,0,2012,0.0120458519525937,0,Tract
48085031663,"Census Tract 316.63, Collin County, Texas",3293,109750,0.3185,943,79,20,2012,0.0239902824172487,0.0212089077412513,Tract
48085031664,"Census Tract 316.64, Collin County, Texas",4203,149294,0.3141,1231,124,7,2012,0.0295027361408518,0.00568643379366369,Tract
48085031704,"Census Tract 317.04, Collin County, Texas",3638,61875,0.5266,587,177,79,2012,0.048653106102254,0.13458262350937,Tract
48085031706,"Census Tract 317.06, Collin County, Texas",2319,193359,0.4055,445,75,0,2012,0.0323415265200517,0,Tract
48085031708,"Census Tract 317.08, Collin County, Texas",3630,49345,0.6113,508,541,166,2012,0.149035812672176,0.326771653543307,Tract
48085031709,"Census Tract 317.09, Collin County, Texas",4518,71347,0.3712,828,306,31,2012,0.0677290836653386,0.03743961352657,Tract
48085031711,"Census Tract 317.11, Collin County, Texas",2834,95063,0.3773,380,113,0,2012,0.0398729710656316,0,Tract
48085031712,"Census Tract 317.12, Collin County, Texas",5013,57702,0.3917,649,401,0,2012,0.0799920207460602,0,Tract
48085031713,"Census Tract 317.13, Collin County, Texas",3904,44961,0.4874,666,314,116,2012,0.0804303278688525,0.174174174174174,Tract
48085031714,"Census Tract 317.14, Collin County, Texas",5184,40847,0.3851,688,790,151,2012,0.152391975308642,0.219476744186047,Tract
48085031715,"Census Tract 317.15, Collin County, Texas",2445,107183,0.5572,486,77,0,2012,0.0314928425357873,0,Tract
48085031716,"Census Tract 317.16, Collin County, Texas",1984,67963,0.4503,305,181,39,2012,0.0912298387096774,0.127868852459016,Tract
48085031717,"Census Tract 317.17, Collin County, Texas",2640,42165,0.4461,512,709,245,2012,0.268560606060606,0.478515625,Tract
48085031718,"Census Tract 317.18, Collin County, Texas",2744,83977,0.4362,590,186,88,2012,0.0677842565597668,0.149152542372881,Tract
48085031719,"Census Tract 317.19, Collin County, Texas",1868,73750,0.4799,348,87,0,2012,0.0465738758029979,0,Tract
48085031720,"Census Tract 317.20, Collin County, Texas",4511,24188,0.4622,1220,1327,437,2012,0.294169807138107,0.358196721311475,Tract
48085031802,"Census Tract 318.02, Collin County, Texas",5985,73570,0.3932,1194,387,135,2012,0.0646616541353384,0.113065326633166,Tract
48085031804,"Census Tract 318.04, Collin County, Texas",3830,46297,0.5544,396,1168,108,2012,0.304960835509138,0.272727272727273,Tract
48085031805,"Census Tract 318.05, Collin County, Texas",5157,100321,0.4113,1217,288,102,2012,0.0558464223385689,0.0838126540673788,Tract
48085031806,"Census Tract 318.06, Collin County, Texas",1526,66375,0.4834,296,149,10,2012,0.0976408912188729,0.0337837837837838,Tract
48085031807,"Census Tract 318.07, Collin County, Texas",4934,82933,0.4193,1107,494,123,2012,0.100121605188488,0.111111111111111,Tract
48085031900,"Census Tract 319, Collin County, Texas",4058,45074,0.3907,1150,1399,745,2012,0.344751108920651,0.647826086956522,Tract
