GEOID,NAME,tot_popE,popm_18t24E,popf_18t24E,pop_3t4E,med_incE,giniE,less_hsE,hs_degE,ba_degE,his_popE,wh_popE,bl_popE,as_popE,rohhE,thhE,hsm_18t24E,hsf_18t24E,es_3t4E,empE,emp_pubtrE,pop_bpE,bp_u18E,pop_o25E,pop_u18E,emp_r25t29E,emp_r30t34E,emp_r35t44E,emp_r45t54E,year,pop_18t24E,wh_per,bl_per,as_per,his_per,emp_r,hs_18t24_per,es_3t4_per,emp_pubtr_per,bp_per,cbp_per,rohh_per,type
48113,"Dallas County, Texas",2552213,125511,122058,79933,53626,0.5031,295590,304849,413649,1011374,771258,563220,152045,448928,906179,44162,35241,10756,1231172,34917,446611,183104,1621762,682882,78.8,78.5,78.4,76.9,2017,247569,0.302191862513043,0.220679073415894,0.0595737894917078,0.39627335179313,0.7815,0.356765184655591,0.134562696258116,0.0283607814342756,0.174989705012865,0.268134172521753,0.495407640212364,County
48121,"Denton County, Texas",781321,36353,37627,21561,80290,0.4346,32592,75923,194237,149286,475452,70796,60788,97642,275164,10452,8093,2021,411284,3725,64503,18749,506132,201209,81.2,82.8,83.9,83.2,2017,73980,0.608523257406367,0.0906106453045547,0.0778015693933735,0.191068715675119,0.82775,0.282562854825629,0.0937340568619266,0.00905700197430486,0.082556337280068,0.0931817165236147,0.35485019842712,County
48139,"Ellis County, Texas",164092,7736,7247,4451,67371,0.4118,12434,23625,19142,41791,102697,14640,1104,14747,54725,2462,2076,518,77018,325,17014,6421,104692,44417,76.3,76.4,80.8,79.1,2017,14983,0.625850132852302,0.0892182434244205,0.006727933110694,0.254680301294396,0.7815,0.32863912434092,0.11637834194563,0.00421979277571477,0.103685737269337,0.144561766891055,0.269474645957058,County
48251,"Johnson County, Texas",160173,7203,6656,4329,60458,0.4093,12223,27452,15284,32475,117957,4506,1219,14486,55467,3316,2263,429,71798,107,17201,6074,104312,42002,74.7,70.8,77.1,77.8,2017,13859,0.736434979678223,0.0281320821861362,0.00761052112403464,0.202749527073851,0.751,0.478533804747817,0.0990990990990991,0.00149029220869662,0.107390134417161,0.144612161325651,0.261164295887645,County
48257,"Kaufman County, Texas",114852,4755,4531,3309,63926,0.4109,7622,19616,12897,22817,76486,11926,1239,8350,36525,1952,1457,496,52377,155,14073,5164,73684,31882,76.2,76.1,81.4,75.1,2017,9286,0.665952704349946,0.10383798279525,0.0107877964684986,0.198664368056281,0.772,0.420417833297437,0.149894227863403,0.00295931420279894,0.122531605892801,0.161972272755787,0.22861054072553,County
48397,"Rockwall County, Texas",90414,3759,3290,2109,93269,0.409,3956,9206,19720,15419,65357,5437,2195,5951,30365,1430,1064,302,43371,327,5222,1879,58304,25061,81,85.2,81.4,80.2,2017,7049,0.722863715796226,0.0601344924458602,0.024277213705842,0.17053774857876,0.8195,0.405731309405589,0.143195827406354,0.0075396001936778,0.0577565421284314,0.0749770559834005,0.195982216367528,County
48439,"Tarrant County, Texas",1983675,93321,92694,58948,62532,0.46,149789,246816,332990,559025,959103,308577,100560,271069,689921,32281,28138,6802,959562,5669,264575,102567,1263581,534079,78.4,79.2,79.9,78.4,2017,186015,0.483498052856441,0.155558244168021,0.0506937880449166,0.281812796955146,0.78975,0.347079536596511,0.11538983510891,0.00590790381444868,0.133376183094509,0.192044622612011,0.392898607231843,County
48085,"Collin County, Texas",944350,39352,37274,26269,94192,0.4324,30505,71589,277935,143369,547403,88702,135508,113972,331336,12119,11164,2696,486254,5720,61635,18965,616730,250994,81.5,80,82.6,83.3,2018,76626,0.579661142584847,0.0939291576216445,0.143493408164346,0.151817652353471,0.8185,0.316315610889254,0.102630476988085,0.011763399375635,0.0652671149467888,0.075559575129286,0.343977110848202,County
48113,"Dallas County, Texas",2586552,126773,123300,79241,56854,0.4997,294757,311958,426696,1033000,765816,572790,158780,457302,917276,45859,36059,11201,1260913,34940,423899,173086,1648710,687769,79,79.3,79.1,77.3,2018,250073,0.29607601161701,0.221449249812105,0.061386741886496,0.399373374283602,0.78675,0.366764904647843,0.141353592206055,0.0277100799182814,0.163885744419598,0.251662985682693,0.498543513620764,County
48121,"Denton County, Texas",807047,37353,38433,21912,83376,0.4346,32187,76710,205995,155047,484341,74946,66371,100604,283250,11256,8402,2343,428520,3660,64291,17910,526185,205076,81.4,82.4,84.4,83.5,2018,75786,0.600139768811482,0.092864480011697,0.0822393243516177,0.192116444271523,0.82925,0.297046947985116,0.106927710843373,0.00854102492299076,0.0796620271186189,0.0873334763697361,0.355177405119153,County
48139,"Ellis County, Texas",168838,7912,7342,4600,72213,0.4144,12215,23585,20449,43737,104141,15820,1104,15080,55840,2690,2143,514,80286,234,15481,6223,108071,45513,78.2,77.3,81.5,80,2018,15254,0.616810196756654,0.0936992857058245,0.00653881235266942,0.259047133939042,0.7925,0.352694375245837,0.111739130434783,0.00291458037515881,0.0916914438692711,0.1367301650078,0.270057306590258,County
48251,"Johnson County, Texas",163475,7270,6836,4480,62066,0.41,12180,28931,15175,34048,119128,4982,1400,14652,56433,3332,2540,313,74342,115,16991,6378,106651,42718,77.6,73.9,77,76.9,2018,14106,0.72872304633736,0.0304756078911149,0.00856400061171433,0.208276494876892,0.7635,0.472423082376294,0.0698660714285714,0.001546904845175,0.103936381709742,0.149304742731401,0.259635319759715,County
48257,"Kaufman County, Texas",118910,4992,4672,3335,65390,0.4156,7790,20483,13163,24531,77641,12799,1410,8855,37364,2072,1790,384,54235,153,15272,5502,76279,32967,76.6,76.3,81.2,74.9,2018,9664,0.652939197712556,0.107636027247498,0.0118577075098814,0.206298881507022,0.7725,0.428807947019868,0.115142428785607,0.00282105651332166,0.128433268858801,0.166894166894167,0.236992827320415,County
48397,"Rockwall County, Texas",93642,3972,3381,1900,94767,0.403,3923,9125,20667,16206,67046,5670,2300,6228,31649,1463,1003,287,45523,383,5267,1841,60582,25707,77.3,82.6,82.3,82.4,2018,7353,0.715982144764102,0.0605497533158198,0.0245616283291685,0.173063369001089,0.8115,0.397932816537468,0.151052631578947,0.00841332952573425,0.056246128873796,0.0716147352861088,0.196783468671996,County
48439,"Tarrant County, Texas",2019977,94867,94463,58630,64874,0.4611,149754,253551,342832,576242,958302,319829,106427,276285,698995,33736,29162,6746,981321,5700,258272,99647,1290366,540281,78.4,79.9,80,79,2018,189330,0.474412332417646,0.158332990920194,0.0526872335675109,0.285271564973265,0.79325,0.356372471346327,0.115060549206891,0.00580849691385388,0.127858881561523,0.184435506708546,0.395260338056782,County
48085,"Collin County, Texas",973977,40854,38677,27082,96913,0.43,30677,74707,289924,148696,554789,93804,146966,119335,341163,13691,11208,3143,503576,5790,60908,17875,638328,256118,81.1,80.3,82.3,83.9,2019,79531,0.569612013425368,0.0963102824810031,0.150892680217295,0.152668902859102,0.819,0.344293420175781,0.116054944243409,0.0114977679635249,0.062535357611114,0.0697920489774245,0.349788810627178,County
48113,"Dallas County, Texas",2606868,126603,123363,79624,59607,0.4982,288448,314790,441013,1047434,759485,580189,162770,464121,928341,45770,36882,11652,1282441,33258,395812,158902,1669564,687338,79.4,79.8,79.5,78,2019,249966,0.291340029491328,0.222561710067407,0.0624389113679711,0.401797866251763,0.79175,0.366209804533417,0.146337787601728,0.0259333567782066,0.151834308449833,0.231184657330164,0.4999466790759,County
48121,"Denton County, Texas",833822,38263,39237,22000,86913,0.4322,32936,78157,216414,160933,494029,79871,72148,101387,290229,11664,8831,2633,445453,3708,62681,17390,547409,208913,81.1,83.7,84.1,83.7,2019,77500,0.592487365408924,0.0957890293132107,0.0865268606489155,0.193006421034705,0.8315,0.301006451612903,0.119681818181818,0.00832411051222015,0.0751731184833214,0.0832403919334843,0.349334491039834,County
48139,"Ellis County, Texas",173772,8047,7430,4742,76871,0.4176,12023,23996,22470,45577,105705,17028,1104,14685,57307,2841,2543,593,83835,190,15026,5961,111737,46558,79.7,80.7,83.4,79.6,2019,15477,0.608297078931013,0.0979904702713901,0.00635315240660175,0.262280459452616,0.8085,0.367125411901531,0.125052720371151,0.00226635653366732,0.0864696268673895,0.128033850251299,0.256251417802363,County
48251,"Johnson County, Texas",167212,7604,6938,4673,64359,0.4098,11565,31266,15759,35714,120380,5794,1536,15278,57310,3777,2781,394,77369,70,16799,6270,109104,43566,77.9,76.1,77.3,77.3,2019,14542,0.719924407339186,0.0346506231610172,0.00918594359256513,0.213585149391192,0.7715,0.51946087195709,0.084314145088808,0.000904755134485388,0.100465277611655,0.14391957030712,0.266585238178328,County
48257,"Kaufman County, Texas",123804,5203,4837,3591,70107,0.4092,8637,20763,13675,26524,78847,14504,1590,8892,38015,2156,1864,305,57844,92,13864,4868,79429,34335,78.4,74.9,83.2,76.2,2019,10040,0.636869568026881,0.117152919130238,0.0128428806823689,0.214241866175568,0.78175,0.429482071713147,0.0849345586187691,0.00159048475209183,0.111983457723498,0.141779525265764,0.233907668025779,County
48397,"Rockwall County, Texas",97175,4170,3528,2240,100920,0.3996,3799,8926,21590,17138,68827,6042,2580,6016,33032,1619,962,349,47766,383,4579,1642,63085,26392,80,82.1,82.9,85.2,2019,7698,0.708278878312323,0.0621764857216362,0.0265500385901724,0.176362233084641,0.8255,0.420628734736295,0.155803571428571,0.00801825566302391,0.04712117314124,0.0622158229766596,0.182126422862679,County
48439,"Tarrant County, Texas",2049770,95955,96159,58529,67700,0.4586,146992,257363,356717,590485,957676,330853,110144,279622,708252,34716,30042,7088,1001794,5692,241703,91928,1314012,543644,79.4,80.1,80.4,79.8,2019,192114,0.467211443235095,0.161409816711143,0.0537348092712841,0.288073783887948,0.79925,0.361410412567538,0.121102359514087,0.00568180683853167,0.117917132166048,0.169095952498326,0.394805803584035,County
