GEOID,NAME,popm_18t24E,popf_18t24E,pop_3t4E,less_hsE,hs_degE,ba_degE,his_popE,wh_popE,bl_popE,as_popE,rohhE,thhE,hsm_18t24E,hsf_18t24E,es_3t4E,empE,emp_pubtrE,pop_o25E,emp_r25t29E,emp_r30t34E,emp_r35t44E,emp_r45t54E,type,tot_popE_2012,tot_popE_2017,tot_popE_2018,tot_popE_2019,med_incE_2012,med_incE_2017,med_incE_2018,med_incE_2019,giniE_2012,giniE_2017,giniE_2018,giniE_2019,pop_u18E_2012,pop_u18E_2017,pop_u18E_2018,pop_u18E_2019,pop_bpE_2012,pop_bpE_2017,pop_bpE_2018,pop_bpE_2019,bp_u18E_2012,bp_u18E_2017,bp_u18E_2018,bp_u18E_2019,bp_per_2012,bp_per_2017,bp_per_2018,bp_per_2019,cbp_per_2012,cbp_per_2017,cbp_per_2018,cbp_per_2019,rohh_per_2012,rohh_per_2017,rohh_per_2018,rohh_per_2019,emp_pubtr_per_2012,emp_pubtr_per_2017,emp_pubtr_per_2018,emp_pubtr_per_2019,es_3t4_per_2012,es_3t4_per_2017,es_3t4_per_2018,es_3t4_per_2019,hs_18t24_per_2012,hs_18t24_per_2017,hs_18t24_per_2018,hs_18t24_per_2019,emp_r_2012,emp_r_2017,emp_r_2018,emp_r_2019,his_per_2012,his_per_2017,his_per_2018,his_per_2019,as_per_2012,as_per_2017,as_per_2018,as_per_2019,bl_per_2012,bl_per_2017,bl_per_2018,bl_per_2019,wh_per_2012,wh_per_2017,wh_per_2018,wh_per_2019,pop_18t24E_2012,pop_18t24E_2017,pop_18t24E_2018,pop_18t24E_2019
75044,ZCTA5 75044,1937,2154,923,2874,5112,8743,9704,16703,6738,8408,4985,15333,619,630,123,22646,384,30015,79.4,81.4,80.8,83.4,Zip,,,,43292,,,,69254,,,,0.4324,,,,9186,,,,3919,,,,1351,,,,0.0905248082786658,,,,0.147071630742434,,,,0.325115763386161,,,,0.0169566369336748,,,,0.133261105092091,,,,0.30261549743339,,,,0.8125,,,,0.224152268317472,,,,0.194216021435831,,,,0.15564076503742,,,,0.38582186085189,,,,4091
75048,ZCTA5 75048,905,1318,504,1683,2859,4879,4317,14120,2490,3688,1028,8115,121,383,29,13389,135,16824,59,85.5,83.5,85.9,Zip,,,,25598,,,,102096,,,,0.3561,,,,6551,,,,777,,,,189,,,,0.030353933901086,,,,0.0288505571668448,,,,0.12667898952557,,,,0.0100829038763164,,,,0.0575396825396825,,,,0.108861898335583,,,,0.78475,,,,0.16864598796781,,,,0.144073755762169,,,,0.0972732244706618,,,,0.551605594187046,,,,2223
75050,ZCTA5 75050,2494,2498,1335,5770,6523,4247,24640,9717,7148,1008,8219,14693,852,638,125,22113,177,26248,78.8,79.4,84,80.6,Zip,,,,43174,,,,58567,,,,0.3937,,,,11934,,,,6333,,,,3062,,,,0.146685505165146,,,,0.256577844813139,,,,0.559382018648336,,,,0.00800434133767467,,,,0.0936329588014981,,,,0.341346153846154,,,,0.807,,,,0.570713855561218,,,,0.0233473850002316,,,,0.165562607124658,,,,0.225066011951638,,,,4992
75051,ZCTA5 75051,2263,2225,1270,6723,7173,1771,28746,5673,5157,960,6676,12754,947,835,240,17902,49,23837,78.8,79.2,74.1,68.6,Zip,,,,40923,,,,42922,,,,0.3925,,,,12598,,,,7903,,,,3292,,,,0.193118784057865,,,,0.261311319257025,,,,0.523443625529246,,,,0.00273712434364875,,,,0.188976377952756,,,,0.422014260249554,,,,0.75175,,,,0.702441170002199,,,,0.0234586907118246,,,,0.126017154167583,,,,0.138626200425189,,,,4488
75052,ZCTA5 75052,4600,4314,2935,5722,13474,14464,35279,21785,26490,9202,7615,29675,1270,1159,474,48999,152,60549,80.6,79.9,86,83.7,Zip,,,,95495,,,,78660,,,,0.3599,,,,26032,,,,6780,,,,2619,,,,0.0709984815958951,,,,0.100606945298095,,,,0.256613310867734,,,,0.00310210412457397,,,,0.161499148211244,,,,0.284945030289432,,,,0.8255,,,,0.369432954604953,,,,0.0963610660243992,,,,0.277396722341484,,,,0.228127127074716,,,,8914
75054,ZCTA5 75054,416,322,396,117,601,3817,2361,3508,4009,1388,443,3486,83,106,7,6258,0,7259,77.6,92.9,94.1,88.7,Zip,,,,11927,,,,133802,,,,0.2873,,,,3930,,,,573,,,,219,,,,0.0480422570638048,,,,0.0557251908396947,,,,0.127079747561675,,,,0,,,,0.0176767676767677,,,,0.224932249322493,,,,0.88325,,,,0.197954221514211,,,,0.116374612224365,,,,0.336128112685504,,,,0.294122579022386,,,,738
75056,ZCTA5 75056,2154,2103,1642,2146,6166,17567,12733,32797,4991,8152,8333,22537,735,388,51,35823,151,41593,87.8,93.6,85.7,85.8,Zip,,,,60554,,,,89252,,,,0.4202,,,,14704,,,,3679,,,,1511,,,,0.0607556891369687,,,,0.102761153427639,,,,0.369747526290101,,,,0.00421516902548642,,,,0.0310596833130329,,,,0.345313601127555,,,,0.88225,,,,0.21027512633352,,,,0.134623641708227,,,,0.0824223007563497,,,,0.54161574792747,,,,4257
75057,ZCTA5 75057,791,819,390,1924,1896,2205,6976,5207,1928,385,3242,5181,316,328,125,8355,125,9462,89.2,83.5,82.7,90.1,Zip,,,,14960,,,,57216,,,,0.3692,,,,3888,,,,2020,,,,863,,,,0.135026737967914,,,,0.221965020576132,,,,0.625747925110983,,,,0.0149611011370437,,,,0.320512820512821,,,,0.392546583850932,,,,0.86375,,,,0.466310160427808,,,,0.0257352941176471,,,,0.128877005347594,,,,0.348061497326203,,,,1610
75058,ZCTA5 75058,144,96,52,90,345,525,291,2232,14,10,161,873,49,13,15,1183,0,1703,68.1,100,75.6,77.8,Zip,,,,2666,,,,98750,,,,0.4543,,,,723,,,,169,,,,19,,,,0.063390847711928,,,,0.0262793914246196,,,,0.184421534936999,,,,0,,,,0.288461538461538,,,,0.408333333333333,,,,0.80375,,,,0.109152288072018,,,,0.00375093773443361,,,,0.00525131282820705,,,,0.837209302325582,,,,240
75060,ZCTA5 75060,2499,2127,1570,8763,6325,3858,30966,10490,2871,2735,5279,13818,1039,758,179,22468,150,28588,82.6,77.5,79.8,83,Zip,,,,47764,,,,57907,,,,0.4003,,,,14550,,,,7259,,,,3216,,,,0.151976383887447,,,,0.221030927835052,,,,0.382037921551599,,,,0.00667616165212747,,,,0.114012738853503,,,,0.449200172935582,,,,0.80725,,,,0.648312536638473,,,,0.057260698433967,,,,0.0601080311531698,,,,0.219621472238506,,,,4626
