GEOID,NAME,tot_popE,tot_popM,pop_u18E,pop_u18M,pop_bpE,pop_bpM,bp_u18E,bp_u18M,cbp_perE,cbp_perM,year
48121021736,"Census Tract 217.36, Denton County, Texas",2461,413,,,20.7,9.6,42,53,7.9,9.8,2012
48121021737,"Census Tract 217.37, Denton County, Texas",4236,357,,,9.9,4.3,27,36,3.5,4.7,2012
48121021738,"Census Tract 217.38, Denton County, Texas",2343,306,,,11.4,5.6,0,13,0,6.7,2012
48121021739,"Census Tract 217.39, Denton County, Texas",3828,461,,,12.8,5.1,486,284,46.7,22.5,2012
48121021740,"Census Tract 217.40, Denton County, Texas",4978,465,,,10.4,4.9,54,43,4.4,3.9,2012
48121021741,"Census Tract 217.41, Denton County, Texas",1656,218,,,8.5,4,70,102,19.3,24.7,2012
48121021742,"Census Tract 217.42, Denton County, Texas",5968,546,,,6.6,3.7,82,110,4.5,6.1,2012
48121021743,"Census Tract 217.43, Denton County, Texas",3113,344,,,9.6,5,21,38,2.9,5.4,2012
48121021744,"Census Tract 217.44, Denton County, Texas",2849,432,,,6.9,4,366,255,40.2,20.3,2012
48121021745,"Census Tract 217.45, Denton County, Texas",6085,644,,,11.3,3.3,562,379,29.7,19.1,2012
48121021746,"Census Tract 217.46, Denton County, Texas",3353,219,,,6.5,2.3,158,208,14.9,17.8,2012
48121021747,"Census Tract 217.47, Denton County, Texas",4193,363,,,8.1,4.4,30,53,2.5,4.5,2012
48121021748,"Census Tract 217.48, Denton County, Texas",3848,248,,,9.3,2.8,20,33,1.9,3.1,2012
48121021749,"Census Tract 217.49, Denton County, Texas",3142,319,,,5,3.3,101,157,8,12.1,2012
48121021750,"Census Tract 217.50, Denton County, Texas",3837,247,,,5.6,2.3,0,13,0,2.8,2012
48121021751,"Census Tract 217.51, Denton County, Texas",4904,254,,,5,1.7,11,19,0.6,1,2012
48121021752,"Census Tract 217.52, Denton County, Texas",4936,271,,,2.9,1.8,0,13,0,1.8,2012
48121021753,"Census Tract 217.53, Denton County, Texas",5298,390,,,5.7,2.2,21,39,1.3,2.5,2012
48121021800,"Census Tract 218, Denton County, Texas",3782,276,,,6.7,3.8,0,13,0,4.4,2012
48121021900,"Census Tract 219, Denton County, Texas",4681,341,,,1.4,1.1,8,14,0.4,0.7,2012
48139060101,"Census Tract 601.01, Ellis County, Texas",7609,626,,,10,2.5,377,189,16.6,7.7,2012
48139060102,"Census Tract 601.02, Ellis County, Texas",7669,702,,,11.1,3.2,494,209,20.8,8.7,2012
48139060204,"Census Tract 602.04, Ellis County, Texas",9131,577,,,8,1.8,91,122,3.4,4.6,2012
48139060206,"Census Tract 602.06, Ellis County, Texas",5709,571,,,13.8,3,416,218,23.8,12.9,2012
