GEOID,NAME,TYPE,tot_popE_19,pop_3t4E_19,med_incE_19,giniE_19,less_hsE_19,hs_degE_19,ba_degE_19,his_popE_19,wh_popE_19,bl_popE_19,as_popE_19,rohhE_19,thhE_19,es_3t4E_19,empE_19,emp_pubtrE_19,pop_bpE_19,bp_u18E_19,pop_o25E_19,pop_u18E_19,pop_18t24E_19,wh_per_19,bl_per_19,as_per_19,his_per_19,emp_r_19,hs_18t24_per_19,es_3t4_per_19,emp_pubtr_per_19,bp_per_19,cbp_per_19,rohh_per_19,per_rohh,per_tot_pop,per_med_inc,per_gini,per_less_hs,per_hs_deg,per_ba_deg,per_wh,per_bl,per_as,per_his,per_emp_r,per_hs_18t24,per_es_3t4,per_emp_pubtr,per_bp,per_cbp
75173,ZCTA5 75173,ZIP,4409,118,79150,0.3971,190,923,502,813,3362,110,24,137,1421,16,2291,0,355,110,3037,1010,362,0.762531186210025,0.0249489680199592,0.00544341120435473,0.184395554547516,0.86875,0.806629834254144,0.135593220338983,0,0.0805171240644137,0.108910891089109,0.0964109781843772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75180,ZCTA5 75180,ZIP,23941,844,50278,0.3872,4812,3006,754,13712,4767,5187,247,2586,6372,156,10374,152,4492,2230,13305,8206,2430,0.199114489787394,0.216657616640909,0.0103170293638528,0.57274132241761,0.782,0.633744855967078,0.184834123222749,0.0146520146520147,0.187627918633307,0.271752376310017,0.405838041431262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75181,ZCTA5 75181,ZIP,28263,1005,88149,0.3062,1921,4037,3195,9881,6651,10011,1085,1056,8040,148,13354,44,1216,405,17234,8504,2525,0.235325337013056,0.354208682730071,0.0383894137211195,0.349609029473163,0.801,0.292277227722772,0.14726368159204,0.00329489291598023,0.0430244489261579,0.0476246472248354,0.13134328358209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75182,ZCTA5 75182,ZIP,6325,147,136118,0.3306,272,595,1637,783,3242,491,1501,63,1860,10,3070,28,308,125,4130,1748,447,0.512569169960474,0.0776284584980237,0.237312252964427,0.123794466403162,0.8075,0.487695749440716,0.0680272108843538,0.00912052117263844,0.0486956521739131,0.0715102974828375,0.0338709677419355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75189,ZCTA5 75189,ZIP,29135,766,90694,0.3636,1432,4770,4256,6658,19718,1748,214,1422,9258,153,14090,80,1364,389,18231,8578,2326,0.676780504547795,0.0599965677020765,0.00734511755620388,0.228522395743951,0.826,0.492691315563199,0.199738903394256,0.0056777856635912,0.0468165436759911,0.0453485660993239,0.153596889176928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76001,ZCTA5 76001,ZIP,33748,932,88135,0.3745,1211,3355,6954,6234,15660,9492,1378,1943,10489,46,16742,14,3312,1318,20698,9628,3422,0.464027497925803,0.281261111769586,0.0408320493066256,0.184722057603414,0.7735,0.578609000584454,0.0493562231759657,0.000836220284314897,0.0981391489866066,0.136892397174907,0.185241681761846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76002,ZCTA5 76002,ZIP,36460,1043,89512,0.3634,2101,4890,6796,8627,9197,14324,3309,1476,9669,31,18861,18,2212,789,21843,10568,4049,0.252249040043884,0.392868897421832,0.0907569939659901,0.236615469007131,0.81875,0.38676216349716,0.0297219558964525,0.00095435024654048,0.0606692265496434,0.0746593489780469,0.15265280794291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76006,ZCTA5 76006,ZIP,24684,817,48116,0.4589,1039,2965,5955,5643,8822,7771,1555,8820,11553,44,14282,101,2779,1137,16607,5141,2936,0.357397504456328,0.314819316156215,0.062996272889321,0.228609625668449,0.82675,0.237057220708447,0.0538555691554468,0.00707183867805629,0.112583049748825,0.221163197821436,0.763438068034277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76008,ZCTA5 76008,ZIP,19338,464,133297,0.3888,326,1478,5465,1679,16807,224,87,655,5955,80,9406,46,736,311,12013,5890,1435,0.869117799151929,0.011583410900817,0.00449891405522805,0.0868238701003206,0.75425,0.259233449477352,0.172413793103448,0.00489049542844993,0.0380597786741131,0.0528013582342954,0.109991603694374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76009,ZCTA5 76009,ZIP,20417,457,59978,0.3913,2273,4461,1175,6314,13283,351,38,1637,6709,63,9101,0,2919,1312,13191,5880,1346,0.650585296566587,0.0171915560562277,0.00186119410295342,0.309252093843366,0.7935,0.444279346210996,0.137855579868709,0,0.142969094382133,0.22312925170068,0.244000596214041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
